Event_Date,Time_IN,Time_Out,Time_in_field,Field,Tractor,Operator,Start_tractor_hours,End_tractor_hours,Total_tractor_hours,Field_Operation,Application,Total_application_in_Units,Units,Application_Info,Application_rate_per_ha,Application_batch_nr,Product_Name,Manufacturer
04/06/2019,11:20,11:40,00:20,NW013,MF 6470,Operator 11,3217.8,3218,0.2,Spread Fertiliser,'Kieserite',489,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
04/06/2019,11:45,12:00,00:15,NW012,MF 6470,Operator 11,3218.8,3219,0.2,Spread Fertiliser,'Kieserite',197,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
04/06/2019,12:05,12:20,00:15,NW010,MF 6470,Operator 11,3219.2,3219.4,0.2,Spread Fertiliser,'Kieserite',229,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
04/06/2019,12:20,12:30,00:10,NW011,MF 6470,Operator 11,3219.5,3219.6,0.1,Spread Fertiliser,'Kieserite',150,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
04/06/2019,13:15,13:30,00:15,NW009,MF 6470,Operator 11,3219.9,3220.1,0.2,Spread Fertiliser,'Kieserite',311,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
04/06/2019,13:30,13:50,00:20,NW046,MF 6470,Operator 11,3220.2,3220.5,0.3,Spread Fertiliser,'Kieserite',240,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
04/06/2019,13:50,14:00,00:10,NW045,MF 6470,Operator 11,3220.5,3220.7,0.2,Spread Fertiliser,'Kieserite',150,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
04/06/2019,14:10,14:30,00:20,NW006,MF 6470,Operator 11,3220.9,3221.2,0.3,Spread Fertiliser,'Kieserite',565,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
04/06/2019,14:30,14:50,00:20,NW005,MF 6470,Operator 11,3221.3,3221.5,0.2,Spread Fertiliser,'Kieserite',68,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
06/06/2019,08:50,09:05,00:15,NW017,MF 6470,Operator 11,3222.7,3222.9,0.2,Spread Fertiliser,'Nitram',195,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),116,,,
06/06/2019,09:20,09:30,00:10,NW017,MF 6470,Operator 11,3223,3223.2,0.2,Lime,'Granulated lime',728,kg,,500,,,
06/06/2019,12:45,12:55,00:10,NW039,MF 6470,Operator 11,3223.8,3224,0.2,Spread Fertiliser,'Kieserite',77,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
06/06/2019,12:55,13:10,00:15,NW014,MF 6470,Operator 11,3224,3224.2,0.2,Spread Fertiliser,'Kieserite',97,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
06/06/2019,13:20,13:35,00:15,NW016,MF 6470,Operator 11,3224.4,3224.6,0.2,Spread Fertiliser,'Kieserite',101,kg,(0% N;0% P2O5; 0% K2O; 50% SO3; 25% MgO,80,,,
17/06/2019,15:10,16:30,01:20,NW018,JD 6210 Little John,Operator 20,,,,Top,,,,,,,Green Bee,
17/06/2019,16:35,17:20,00:45,NW017,JD 6210 Little John,Operator 20,,,,Top,,,,,,,Green Bee,
21/06/2019,12:20,12:50,00:30,NW045,JD 6155R Big John,Operator 10,1283.9,1284.4,0.5,Apply Pesticide,'Spray Herbicides',,l,PAS 1l/ha.  TOR 1l/ha.  300l/ha water.,,PAS TOR,PAS 1l/ha.  TOR 1l/ha.  300l/ha water.,
01/07/2019,15:15,16:00,00:45,NW009,JD 6620 Little Boots,Operator 15,6138,6138.7,0.7,Drain trim,,,,,,,,
01/07/2019,16:05,16:45,00:40,NW017,JD 6620 Little Boots,Operator 15,6138.8,6139.6,0.8,Drain trim,,,,,,,,
02/07/2019,08:40,09:10,00:30,NW018,JD 6620 Little Boots,Operator 15,6139.7,6140.2,0.5,Drain trim,,,,,,,,
02/07/2019,09:10,09:45,00:35,NW018,JD 6620 Little Boots,Operator 15,6140.2,6140.8,0.6,Drain trim,,,,,,,,
02/07/2019,10:15,11:00,00:45,NW016,JD 6620 Little Boots,Operator 15,6140.9,6141.5,0.6,Drain trim,,,,,,,,
03/07/2019,09:45,10:20,00:35,NW014,JD 6620 Little Boots,Operator 15,6142.6,6143.2,0.6,Drain trim,,,,,,,,
04/07/2019,12:00,13:15,01:15,NW039,JD 6620 Little Boots,Operator 10,6143.5,6144.6,1.1,Drain trim,,,,,,,,
04/07/2019,13:21,15:30,02:09,NW012,JD 6620 Little Boots,Operator 10,6144.7,6146.8,2.1,Drain trim,,,,,,,,
04/07/2019,15:37,16:27,00:50,NW010,JD 6620 Little Boots,Operator 10,6146.8,6147.8,1,Drain trim,,,,,,,,
05/07/2019,11:18,12:15,00:57,NW010,JD 6620 Little Boots,Operator 10,6147.9,6148.9,1,Drain trim,,,,,,,,
05/07/2019,12:18,13:16,00:58,NW013,JD 6620 Little Boots,Operator 10,6148.9,6149.9,1,Drain trim,,,,,,,,
08/07/2019,15:50,16:35,00:45,NW006,JD 6620 Little Boots,Operator 10,6153.7,6154.5,0.8,Drain trim,,,,,,,,
09/07/2019,08:19,08:34,00:15,NW006,JD 6620 Little Boots,Operator 10,6154.5,6154.8,0.3,Drain trim,,,,,,,,
09/07/2019,08:37,09:43,01:06,NW045,JD 6620 Little Boots,Operator 10,6154.8,6155.9,1.1,Drain trim,,,,,,,,
09/07/2019,09:46,12:31,02:45,NW046,JD 6620 Little Boots,Operator 10,6155.9,6157.5,1.6,Drain trim,,,,,,,,
09/07/2019,11:58,12:31,00:33,NW006,JD 6620 Little Boots,Operator 15,6157,6157.5,0.5,Drain trim,,,,,,,To finish,
10/07/2019,11:21,12:14,00:53,NW005,JD 6620 Little Boots,Operator 10,6162.4,6163.3,0.9,Drain trim,,,,,,,,
11/07/2019,08:30,09:47,01:17,NW006,JD 6620 Little Boots,Operator 10,6165.2,6166.6,1.4,Drain trim,,,,,,,,
11/07/2019,12:10,13:06,00:56,NW011,JD 6620 Little Boots,Operator 10,6168.2,6169.3,1.1,Drain trim,,,,,,,,
23/07/2019,10:15,10:35,00:20,NW013,MF 6470,Operator 11,3290,3290.6,0.6,Spread Fertiliser,'Nitram',365,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),60,,,
23/07/2019,10:35,10:50,00:15,NW011,MF 6470,Operator 11,3290.6,3290.9,0.3,Spread Fertiliser,'Nitram',238,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),60,,,
23/07/2019,10:50,11:05,00:15,NW010,MF 6470,Operator 11,3290.9,3291.1,0.2,Spread Fertiliser,'Nitram',123,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),60,,,
26/07/2019,10:15,11:31,01:16,NW018,JD 6620 Little Boots,Operator 11,6182.5,6182.9,0.4,Top,,,,,,,,
29/07/2019,09:50,10:10,00:20,NW009,MF 6470,Operator 11,3291.7,3292,0.3,Spread Fertiliser,'Nitram',437,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),116,,,
29/07/2019,10:30,10:35,00:05,NW005,MF 6470,Operator 11,3292.3,3292.4,0.1,Spread Fertiliser,'Nitram',134,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),116,,,
29/07/2019,10:45,10:55,00:10,NW016,MF 6470,Operator 11,3292.6,3292.8,0.2,Spread Fertiliser,'Nitram',190,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),116,,,
29/07/2019,11:30,11:50,00:20,NW006,MF 6470,Operator 11,3293.3,3293.7,0.4,Spread Fertiliser,'Nitram',721,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),116,,,
20/08/2019,15:54,16:34,00:40,NW005,JD 6155R Big John,Operator 10,1389,1389.7,0.7,Mow,,,,,,,,
20/08/2019,16:45,17:24,00:39,NW045,JD 6155R Big John,Operator 10,1389.9,1390.6,0.7,Mow,,,,,,,,
20/08/2019,17:28,18:30,01:02,NW046,JD 6155R Big John,Operator 10,1390.6,1391.6,1,Mow,,,,,,,,
20/08/2019,19:03,20:03,01:00,NW010,JD 6155R Big John,Operator 10,1391.9,1393,1.1,Mow,,,,,,,,
20/08/2019,20:09,21:06,00:57,NW011,JD 6155R Big John,Operator 10,1393,1393.9,0.9,Mow,,,,,,,,
21/08/2019,15:00,15:45,00:45,NW045,JD 6620 Little Boots,Operator 3,7817.1,7817.8,0.7,Rowing up,,,,,,,,
21/08/2019,15:55,16:20,00:25,NW005,JD 6210 Little John,Operator 3,7818,7818.4,0.4,Rowing up,,,,,,,,
21/08/2019,16:35,17:40,01:05,NW046,JD 6210 Little John,Operator 3,7818.8,7819.7,0.9,Rowing up,,,,,,,,
22/08/2019,11:00,11:30,00:30,NW005,JD 6155R Big John,Operator 15,1404.8,1405.5,0.7,Baling (silage),,,,,,,,
22/08/2019,11:40,13:00,01:20,NW046,JD 6155R Big John,Operator 15,1405.6,1407,1.4,Baling (silage),,,,,,,,
