Official tag,09/11/2017,24/04/2018,04/05/2018,07/05/2018,12/06/2018,21/06/2018,25/06/2018,06/07/2018,10/08/2018,01/09/2018,10/09/2018,11/09/2018,18/09/2018,03/10/2018,31/10/2018,05/11/2018,09/11/2018,08/01/2019,02/04/2019,11/04/2019,12/04/2019,28/04/2019,30/04/2019,01/05/2019,02/05/2019,03/05/2019,07/05/2019,10/05/2019,14/05/2019,18/05/2019,28/05/2019,30/05/2019,06/06/2019,17/06/2019,26/06/2019,09/07/2019,14/08/2019,07/09/2019,08/09/2019,12/09/2019,13/09/2019,16/09/2019,25/09/2019,01/10/2019,22/10/2019,04/11/2019,05/11/2019,06/11/2019,17/12/2019,15/01/2020,11/04/2020,15/04/2020,26/05/2020,30/05/2020,19/06/2020,06/07/2020,23/07/2020,30/07/2020,06/08/2020,19/08/2020,24/08/2020,08/09/2020,08/10/2020,09/10/2020,03/11/2020,09/11/2020,08/12/2020,21/12/2020,21/01/2021,22/01/2021
UK 362735 101754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NW010,NA,Blue Cattle Shed: Young Cattle,NA,NW011,NA,NA,NW010,NW011,NW010,NA,NA,NA,NA,NA,NW013,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NW005,NA,NA,NA,NA,NA,NA,NA,NW045,NA,NA,NW046,NW045,NW046,NW045,NW009,NW006,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NW046,NW045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NW046,NW045,NW046,NW045,NW009,NW006,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NW046,NW045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NW046,NW045,NW046,NW045,NW009,NW006,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NW046,NW045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NW046,NW045,NW046,NW045,NW009,NW006,NA,NA,NW046,NA,NA,NW006,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NW010,NA,Blue Cattle Shed: Young Cattle,NA,NW011,NA,NA,NA,NW011,NW010,NA,NA,NA,NA,NA,NW013,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NW046,NA,NA,NA,NA,NA,NA,NA,NW045,NA,NA,NW046,NW045,NW046,NW045,NW009,NW006,NA,NA,NW046,NA,NA,NW006,NA,NA,NA,NA,Green Cattle Shed: Returning Cattle,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NW010,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NW011,NA,NW011,NA,NA,NA,NA,NA,NA,NA,NA,NW013,NA,NA,NW010,NA,NW011,NW012,NW013,NA,NA,Blue Cattle Shed: Returning Cattle,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NW013,NW011,NW013,NA,NW010,NWT801,8,NA,NA,NA,NA,NW013,NA,Blue Cattle Shed: Returning Cattle,NA,Sold finished,NA,NA,NA
UK 362735 101950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NW013,NW011,NW013,NA,NW010,NWT801,8,NA,NA,NA,NA,NW013,NA,Blue Cattle Shed: Returning Cattle,NA,NA,NA,Sold finished,NA
