Official tag,Category,Date sold,Sold to,Lot no,Final Live Weight Date,Final Live Wt kg,Cold Carcase Wt kg,Conf,Fat,Dead Wt Pence/kg
UK 362735 302295,Cattle,19/06/2023,Abattoir,1264,19/06/2023,626,343.6,R,3,474
UK 362735 302323,Cattle,23/05/2023,Abattoir,4010,23/05/2023,620,321.2,O+,4L,473
UK 362735 702292,Cattle,23/05/2023,Abattoir,4005,23/05/2023,650,339.5,O+,3,472
UK 362735 402310,Cattle,16/03/2023,Abattoir,7362,16/03/2023,610,321.3,R,3,482
UK 362735 602270,Cattle,16/03/2023,Abattoir,7364,16/03/2023,662,350,R,3,482
UK 362735 102251,Cattle,15/12/2022,Abattoir,4990,15/12/2022,580,314.4,O+,4H,425
UK 362735 102293,Cattle,15/12/2022,Abattoir,4985,15/12/2022,576,308.9,O+,4L,430
UK 362735 202203,Cattle,15/12/2022,Abattoir,4984,15/12/2022,594,314.2,O+,4H,425
UK 362735 302302,Cattle,15/12/2022,Abattoir,4991,15/12/2022,542,277.4,O+,4L,430
UK 362735 502255,Cattle,15/12/2022,Abattoir,4987,15/12/2022,584,331.1,R,4L,440
UK 362735 502304,Cattle,15/12/2022,Abattoir,4986,15/12/2022,518,257,O+,4L,415
UK 362735 702257,Cattle,15/12/2022,Abattoir,4993,15/12/2022,608,316.1,R,4L,440
UK 362735 102244,Cattle,11/11/2022,Abattoir,5479,11/11/2022,592,322.6,R,4L,442
UK 362735 102258,Cattle,11/11/2022,Abattoir,5477,11/11/2022,622,321.2,R,4L,442
UK 362735 202224,Cattle,11/11/2022,Abattoir,5489,11/11/2022,608,331,R,4L,442
UK 362735 302225,Cattle,11/11/2022,Abattoir,5481,11/11/2022,600,313.2,O+,3,432
UK 362735 302253,Cattle,11/11/2022,Abattoir,5491,11/11/2022,608,329.2,U-,4L,450
UK 362735 502318,Cattle,11/11/2022,Abattoir,5482,11/11/2022,550,295,R,4H,442
UK 362735 502332,Cattle,11/11/2022,Abattoir,5490,11/11/2022,578,320.3,R,2,442
UK 362735 602214,Cattle,11/11/2022,Abattoir,5478,11/11/2022,598,312.1,O+,3,432
UK 362735 602298,Cattle,11/11/2022,Abattoir,5476,11/11/2022,532,274.4,O+,4L,432
UK 362735 602326,Cattle,11/11/2022,Abattoir,5488,11/11/2022,546,292.4,R,3,442
UK 362735 702243,Cattle,11/11/2022,Abattoir,5480,11/11/2022,536,272.4,R,3,442
UK 362735 102216,Cattle,28/10/2022,Abattoir,1451,28/10/2022,560,297.9,O+,3,430
UK 362735 202294,Cattle,28/10/2022,Abattoir,1454,28/10/2022,578,316.9,R,3,440
UK 362735 302274,Cattle,28/10/2022,Abattoir,1449,28/10/2022,620,339.5,R,3,440
UK 362735 302316,Cattle,28/10/2022,Abattoir,1450,28/10/2022,594,318.7,R,3,440
UK 362735 402275,Cattle,28/10/2022,Abattoir,1452,28/10/2022,552,279.3,R,2,435
UK 362735 402282,Cattle,28/10/2022,Abattoir,1455,28/10/2022,570,321.2,R,3,440
UK 362735 502213,Cattle,28/10/2022,Abattoir,1446,28/10/2022,620,329.3,R,4L,440
UK 362735 602263,Cattle,28/10/2022,Abattoir,1447,28/10/2022,576,319.6,R,3,440
UK 362735 602284,Cattle,28/10/2022,Abattoir,1448,28/10/2022,646,351.6,R,4L,440
UK 362735 702278,Cattle,28/10/2022,Abattoir,1456,28/10/2022,584,301,O+,4L,430
UK 362735 702306,Cattle,28/10/2022,Abattoir,1453,28/10/2022,580,313.8,R,4L,440
UK 362735 102223,Cattle,21/10/2022,Abattoir,9482,21/10/2022,578,293,O+,4L,430
UK 362735 102237,Cattle,21/10/2022,Abattoir,9480,21/10/2022,626,330.4,R,4L,440
UK 362735 102307,Cattle,21/10/2022,Abattoir,9479,21/10/2022,632,344.2,R,3,440
UK 362735 202266,Cattle,21/10/2022,Abattoir,9477,21/10/2022,640,325.2,O+,4L,430
UK 362735 302309,Cattle,21/10/2022,Abattoir,9481,21/10/2022,628,332,R,3,440
UK 362735 402240,Cattle,21/10/2022,Abattoir,9484,21/10/2022,656,351.4,R,3,440
UK 362735 502283,Cattle,21/10/2022,Abattoir,9478,21/10/2022,632,325.6,R,4L,440
UK 362735 602235,Cattle,21/10/2022,Abattoir,9485,21/10/2022,622,347.1,U-,3,448
UK 362735 602256,Cattle,21/10/2022,Abattoir,9487,21/10/2022,654,326,O+,3,430
UK 362735 702215,Cattle,21/10/2022,Abattoir,9486,21/10/2022,588,304,O+,4L,430
