Official tag,Category,Birth weight (kg),09/11/2017,12/12/2017,16/01/2018,13/02/2018,14/03/2018,24/04/2018,22/05/2018,12/06/2018,19/06/2018,17/07/2018,07/08/2018,10/09/2018,11/09/2018,09/10/2018,31/10/2018,06/11/2018,09/11/2018,14/11/2018,04/12/2018,08/01/2019,15/01/2019,14/02/2019,12/03/2019,02/04/2019,11/04/2019,30/04/2019,01/05/2019,02/05/2019,10/05/2019,13/05/2019,24/05/2019,30/05/2019,05/07/2019,30/07/2019,14/08/2019,07/09/2019,30/09/2019,01/10/2019,22/10/2019,04/11/2019,05/11/2019,06/11/2019,02/12/2019,17/12/2019,08/01/2020,10/01/2020,15/01/2020,04/02/2020,03/03/2020,11/04/2020,15/04/2020,15/05/2020,13/06/2020,19/06/2020,13/07/2020,13/08/2020,19/08/2020,23/09/2020,14/10/2020,03/11/2020,09/11/2020,03/12/2020,08/12/2020,21/12/2020,14/01/2021,21/01/2021
UK 362735 101754,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,366,NA,NA,389,NA,429,452,463,493,NA,483,NA,NA,480,NA,502,NA,542,568,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101789,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,350,NA,NA,355,NA,421,465,482,492,NA,NA,NA,NA,520,NA,NA,566,626,658,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101796,Cattle,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,416,NA,NA,435,NA,506,544,580,608,NA,NA,NA,NA,602,NA,NA,642,700,740,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101803,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,348,NA,NA,372,NA,424,457,485,522,NA,NA,NA,NA,506,NA,NA,542,592,612,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101824,Cattle,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,313,NA,NA,336,NA,378,415,439,451,NA,NA,NA,NA,451,NA,NA,489,538,554,NA,560,NA,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101831,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,365,NA,NA,371,NA,423,446,457,487,NA,494,NA,NA,484,NA,512,NA,564,584,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101845,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,305,NA,NA,341,NA,389,436,460,487,NA,NA,NA,NA,485,NA,NA,510,550,568,NA,580,586,NA,NA,602,NA,NA,646,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101887,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,261,NA,NA,285,NA,336,374,398,425,NA,NA,NA,439,431,NA,453,NA,518,526,NA,554,558,NA,NA,586,NA,NA,626,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101922,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,306,NA,333,NA,NA,357,387,NA,383,437,489,NA,506,550,NA,562,570,588,NA,658,656,NA,NA,NA
UK 362735 101950,Cattle,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,283,NA,289,NA,NA,304,324,NA,301,332,389,NA,399,436,NA,460,538,492,NA,514,NA,NA,562,576
UK 362735 101964,Cattle,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,251,NA,264,NA,NA,272,302,NA,316,374,403,NA,424,463,NA,461,480,496,NA,556,NA,556,NA,NA
UK 362735 101985,Cattle,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,345,NA,393,NA,NA,412,445,476,NA,534,574,NA,600,626,600,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101992,Cattle,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,NA,367,NA,415,NA,NA,439,469,483,NA,510,562,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
