Official tag,Category,Birth weight (kg),31/10/2018,06/11/2018,04/12/2018,15/01/2019,14/02/2019,12/03/2019,02/04/2019,30/04/2019,01/05/2019,10/05/2019,24/05/2019,30/05/2019,05/07/2019,30/07/2019,07/09/2019,30/09/2019,04/11/2019,05/11/2019,06/11/2019,02/12/2019,08/01/2020,10/01/2020,15/01/2020,04/02/2020,03/03/2020,11/04/2020,15/04/2020,15/05/2020,13/06/2020,19/06/2020,13/07/2020,13/08/2020,19/08/2020,23/09/2020,14/10/2020,03/11/2020,09/11/2020,03/12/2020,08/12/2020,21/12/2020,11/01/2021,14/01/2021,21/01/2021,16/02/2021,17/03/2021,13/04/2021,20/04/2021,26/04/2021,13/05/2021,07/06/2021,18/06/2021,21/06/2021,16/07/2021,22/07/2021,03/08/2021,13/08/2021,01/09/2021,13/09/2021,28/09/2021,11/10/2021,26/10/2021,10/11/2021,12/11/2021,16/11/2021,05/01/2022,14/01/2022,25/01/2022
UK 362735 101922,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,306,333,NA,NA,357,387,NA,383,437,489,NA,506,550,NA,562,570,588,NA,658,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101950,Cattle,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,283,289,NA,NA,304,324,NA,301,332,389,NA,399,436,NA,460,538,492,NA,514,NA,NA,NA,562,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101964,Cattle,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,251,264,NA,NA,272,302,NA,316,374,403,NA,424,463,NA,461,480,496,NA,556,NA,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101985,Cattle,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,345,393,NA,NA,412,445,476,NA,534,574,NA,600,626,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101992,Cattle,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,NA,367,415,NA,NA,439,469,483,NA,510,562,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102020,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,259,265,NA,NA,282,309,NA,326,387,417,NA,455,514,NA,530,546,564,NA,608,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102041,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,258,270,NA,NA,275,287,297,NA,374,420,NA,459,485,NA,520,540,566,NA,578,NA,NA,NA,596,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102083,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,442,NA,478,508,518,NA,NA,528,566,NA,562,582,NA,550,NA,NA,600,608,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102097,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,NA,NA,482,NA,512,564,NA,596,NA,584,602,618,NA,650,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102118,Cattle,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,370,NA,395,435,NA,457,NA,460,502,504,NA,536,NA,562,566,NA,590,NA,622,NA,686,NA,652,NA,NA,NA
