Official tag,Category,Birth weight (kg),05/11/2019,06/11/2019,02/12/2019,08/01/2020,04/02/2020,03/03/2020,11/04/2020,15/04/2020,15/05/2020,13/06/2020,13/07/2020,13/08/2020,23/09/2020,14/10/2020,03/11/2020,03/12/2020,08/12/2020,11/01/2021,14/01/2021,21/01/2021,16/02/2021,17/03/2021,13/04/2021,20/04/2021,26/04/2021,13/05/2021,07/06/2021,18/06/2021,21/06/2021,16/07/2021,22/07/2021,03/08/2021,13/08/2021,01/09/2021,13/09/2021,28/09/2021,11/10/2021,26/10/2021,08/11/2021,09/11/2021,10/11/2021,12/11/2021,16/11/2021,09/12/2021,05/01/2022,14/01/2022,25/01/2022,16/02/2022,16/03/2022,17/03/2022,12/04/2022,13/04/2022,05/05/2022,07/06/2022,08/06/2022,05/07/2022,06/07/2022,03/08/2022,11/08/2022,25/08/2022,07/09/2022,11/10/2022,20/10/2022,21/10/2022,28/10/2022,10/11/2022,11/11/2022,15/12/2022,17/01/2023,14/02/2023,15/03/2023,16/03/2023,11/05/2023,23/05/2023,12/06/2023,19/06/2023
UK 362735 101950,Cattle,40,282,NA,283,289,304,324,NA,301,332,389,399,436,460,538,492,514,NA,NA,562,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102041,Cattle,45,NA,245,258,270,275,287,297,NA,374,420,459,485,520,540,566,578,NA,NA,596,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102083,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,442,NA,478,508,518,NA,NA,528,566,NA,562,582,NA,550,NA,NA,600,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102097,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,NA,482,NA,512,564,NA,596,NA,584,602,618,NA,650,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102118,Cattle,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,370,NA,395,435,NA,457,NA,460,502,504,NA,536,NA,562,566,NA,590,NA,622,NA,NA,NA,686,NA,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102125,Cattle,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,NA,433,NA,467,512,526,NA,NA,530,576,NA,576,608,NA,602,NA,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102139,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,NA,394,NA,428,455,NA,488,NA,472,485,493,NA,516,NA,538,552,NA,560,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102160,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,361,NA,390,426,450,NA,NA,471,504,NA,514,536,NA,542,534,NA,570,NA,578,NA,NA,NA,NA,NA,NA,NA,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102174,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,348,NA,367,409,NA,436,NA,432,470,445,NA,494,NA,NA,NA,NA,556,NA,612,NA,NA,NA,668,NA,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102188,Cattle,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,NA,366,NA,397,449,NA,473,NA,457,488,487,NA,522,NA,542,NA,NA,578,NA,616,NA,NA,NA,672,NA,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102209,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,NA,NA,NA,NA,384,NA,410,NA,427,449,NA,NA,475,483,NA,506,532,NA,566,NA,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102216,Cattle,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,NA,NA,NA,317,NA,336,NA,342,NA,376,421,NA,430,460,NA,NA,508,542,NA,NA,556,570,586,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102223,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,NA,NA,NA,369,NA,391,NA,403,447,NA,NA,442,427,NA,460,483,NA,532,NA,NA,540,NA,586,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102237,Cattle,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,NA,NA,359,NA,406,NA,432,459,NA,NA,489,470,NA,508,534,NA,564,NA,NA,584,NA,628,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 102244,Cattle,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,NA,NA,NA,354,NA,370,NA,396,NA,409,442,NA,454,491,NA,NA,540,548,NA,NA,580,600,608,NA,NA,NA,592,NA,NA,NA,NA,NA,NA,NA,NA,NA
