Name,Field,Field Name,Farmlet,Method,Feed_Category,Sampling_Date,%dry_matter,%crude_protein,%WSC,%lipids,%NDF,%ADF,%MADF,%ADL,ME_MJ_per_kg_DM,%Ash,%Acetate,%Propionate,%Butyrate,%Lactate,%Ammonia_from_total_N,Additional Analysis
Red 30/04/2015 Great Field  Pasture,NW002,Great Field,Red,Grazing,Pasture,30/04/2015 00:00:00,,16.7,24.85,,33.18,16.59,18.19,,12.84,6.96,,,,,,
Green 30/04/2015 Orchard  Dean  Pasture,NW008,Orchard Dean,Green,Grazing,Pasture,30/04/2015 00:00:00,,20.1,16.82,,36.9,16.11,18.34,,12.81,7.67,,,,,,
Blue 1 30/04/2015 Higher & Middle Wyke Moor  Pasture,NW010,Higher Wyke Moor,Blue,Grazing,Pasture,30/04/2015 00:00:00,,19.33,21,,25.29,14.04,16.08,,13.23,7.37,,,,,,
Blue 2 30/04/2015 Higher & Middle Wyke Moor  Pasture,NW011,Middle Wyke Moor,Blue,Grazing,Pasture,30/04/2015 00:00:00,,19.33,21,,25.29,14.04,16.08,,13.23,7.37,,,,,,
Red 13/05/2015 Great Field  Pasture,NW002,Great Field,Red,Grazing,Pasture,13/05/2015 00:00:00,,18.74,18.71,,36.09,17.9,19.68,,12.56,7.72,,,,,,
Green 13/05/2015 Orchard  Dean  Pasture,NW008,Orchard Dean,Green,Grazing,Pasture,13/05/2015 00:00:00,,21.94,15.33,,37.44,16.6,18.45,,12.79,7.97,,,,,,
Blue 1 13/05/2015 Higher & Middle Wyke Moor  Pasture,NW010,Higher Wyke Moor,Blue,Grazing,Pasture,13/05/2015 00:00:00,,19.46,17.14,,31.16,16.71,18.52,,12.77,7.59,,,,,,
Blue 2 13/05/2015 Higher & Middle Wyke Moor  Pasture,NW011,Middle Wyke Moor,Blue,Grazing,Pasture,13/05/2015 00:00:00,,19.46,17.14,,31.16,16.71,18.52,,12.77,7.59,,,,,,
Red 27/05/2015 Great Field  Pasture,NW002,Great Field,Red,Grazing,Pasture,27/05/2015 00:00:00,,15.18,21.3,,38.16,20.16,21.93,,12.14,7.44,,,,,,
Green 27/05/2015 Orchard  Dean  Pasture,NW008,Orchard Dean,Green,Grazing,Pasture,27/05/2015 00:00:00,,19.45,15.3,,37.08,18.04,19.9,,12.52,8.11,,,,,,
Blue 27/05/2015 Higher Wyke Moor  Pasture,NW010,Higher Wyke Moor,Blue,Grazing,Pasture,27/05/2015 00:00:00,,17.8,17.68,,28.64,16.92,18.5,,12.78,7.66,,,,,,
Red 11/06/2015 Great Field  Pasture,NW002,Great Field,Red,Grazing,Pasture,11/06/2015 00:00:00,,15.55,20.62,,38.87,19.07,21.18,,12.28,7.5,,,,,,
Green 11/06/2015 Orchard  Dean  Pasture,NW008,Orchard Dean,Green,Grazing,Pasture,11/06/2015 00:00:00,,19.07,15.33,,40.17,18.95,20.15,,12.47,8.23,,,,,,
Blue 11/06/2015 Higher Wyke Moor  Pasture,NW010,Higher Wyke Moor,Blue,Grazing,Pasture,11/06/2015 00:00:00,,16,15.51,,33.76,19.98,22.24,,12.09,8.31,,,,,,
Red 26/06/2015 Great Field  Pasture,NW002,Great Field,Red,Grazing,Pasture,26/06/2015 00:00:00,,20.3,15.28,,42.24,21.35,23.49,,11.85,8.67,,,,,,
Green 26/06/2015 Orchard  Dean  Pasture,NW008,Orchard Dean,Green,Grazing,Pasture,26/06/2015 00:00:00,,22.22,11.56,,39.95,19.15,20.98,,12.32,8.65,,,,,,
Blue 26/06/2015 Middle Wyke Moor Pasture,NW011,Middle Wyke Moor,Blue,Grazing,Pasture,26/06/2015 00:00:00,,19.74,14.17,,35.85,18.65,21.84,,12.16,7.51,,,,,,
Red 09/07/2015 Great Field  Pasture,NW002,Great Field,Red,Grazing,Pasture,09/07/2015 00:00:00,,17.67,16.51,,38.52,19.63,21.34,,12.25,7.92,,,,,,
Green 09/07/2015 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,09/07/2015 00:00:00,,19.05,11.66,,41.82,18.15,20.06,,12.49,8.96,,,,,,
Blue 09/07/2015 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,09/07/2015 00:00:00,,16.17,17.69,,33.48,19.33,21.01,,12.31,9.3,,,,,,
