Official tag,Management tag,Category,Breed,Sex,Date of birth,Sire official tag,Birth Dam official tag,Rearing Dam official tag,Farmlet,Grazing year,End grazing year
UK 362735 302050,2050,Cattle,STX,F,14/05/2019,UK 380678 601707,UK 363394 600788,NA,Blue,2020,2020
UK 362735 302043,2043,Cattle,STX,F,25/04/2019,UK 380678 601707,UK 340762 401876,NA,Green,2020,2020
UK 362735 202042,2042,Cattle,STX,M,23/04/2019,UK 380678 601707,UK 340493 301589,NA,Blue,2020,2020
UK 362735 102041,2041,Cattle,ST,M,18/04/2019,UK 380678 601707,UK 280211 100471,NA,Green,2020,2020
UK 362735 302036,2036,Cattle,ST,M,10/04/2019,UK 142911 303178,UK 221217 201162,NA,Green,2020,2020
UK 362735 202035,2035,Cattle,ST,M,05/04/2019,UK 142911 303178,UK 221217 101245,NA,Blue,2020,2020
UK 362735 702033,2033,Cattle,ST,M,03/04/2019,UK 380678 601707,UK 706021 303007,NA,Green,2020,2020
UK 362735 302022,2022,Cattle,STX,M,31/03/2019,UK 380678 601707,UK 740431 100971,NA,Green,2020,2020
UK 362735 402023,2023,Cattle,ST,M,31/03/2019,UK 142911 303178,UK 706021 103075,NA,Green,2020,2020
UK 362735 102020,2020,Cattle,ST,F,28/03/2019,UK 380678 601707,UK 706021 302937,NA,Blue,2020,2020
UK 362735 602018,2018,Cattle,ST,M,26/03/2019,UK 142911 303178,UK 706021 603059,NA,Blue,2020,2020
UK 362735 202014,2014,Cattle,ST,M,23/03/2019,UK 142911 303178,UK 706021 202964,NA,Blue,2020,2020
UK 362735 302008,2008,Cattle,STX,M,19/03/2019,UK 303596 501955,UK 362594 300081,NA,Blue,2020,2020
UK 362735 202007,2007,Cattle,STX,M,18/03/2019,UK 303596 501955,UK 366189 702074,NA,Blue,2020,2020
UK 362735 602004,2004,Cattle,ST,M,17/03/2019,UK 380678 601707,UK 280211 300494,NA,Blue,2020,2020
UK 362735 202000,2000,Cattle,STX,F,15/03/2019,UK 303596 501955,UK 344428 602231,NA,Green,2020,2020
UK 362735 401995,1995,Cattle,ST,M,12/03/2019,UK 380678 601707,UK 280211 700477,NA,Blue,2020,2020
UK 362735 501996,1996,Cattle,STX,M,12/03/2019,UK 303596 501955,UK 345188 401397,NA,Blue,2020,2020
UK 362735 601997,1997,Cattle,ST,M,12/03/2019,UK 380678 601707,UK 221217 501172,NA,Blue,2020,2020
UK 362735 301994,1994,Cattle,STX,F,11/03/2019,UK 303596 501955,UK 366189 601716,NA,Green,2020,2020
UK 362735 101992,1992,Cattle,STX,F,10/03/2019,UK 303596 501955,UK 362215 401228,NA,Green,2020,2020
UK 362735 501989,1989,Cattle,STX,M,09/03/2019,UK 303596 501955,UK 344853 101116,NA,Green,2020,2020
UK 362735 301987,1987,Cattle,ST,M,07/03/2019,UK 142911 303178,UK 362735 701606,NA,Blue,2020,2020
UK 362735 101985,1985,Cattle,ST,M,06/03/2019,UK 380678 601707,UK 221217 501179,NA,Green,2020,2020
UK 362735 201986,1986,Cattle,STX,M,06/03/2019,UK 303596 501955,UK 341623 501576,NA,Green,2020,2020
UK 362735 201979,1979,Cattle,STX,F,03/03/2019,UK 303596 501955,UK 345188 201395,NA,Blue,2020,2020
UK 362735 501975,1975,Cattle,ST,M,02/03/2019,UK 380678 601707,UK 221217 501256,NA,Green,2020,2020
UK 362735 601976,1976,Cattle,STX,M,02/03/2019,UK 303596 501955,UK 361993 201363,NA,Green,2020,2020
UK 362735 301973,1973,Cattle,ST,F,01/03/2019,UK 380678 601707,UK 706021 402938,NA,Green,2020,2020
UK 362735 401974,1974,Cattle,STX,F,01/03/2019,UK 303596 501955,UK 740431 201014,NA,Blue,2020,2020
