Datetime,Soil Temperature @ 15cm Depth (oC) [Catchment 2],Soil Temperature @ 15cm Depth (oC) [Catchment 4 After  2013/08/13],Soil Temperature @ 15cm Depth (oC) [Catchment 9],Soil Moisture @ 10cm Depth (%) [Catchment 2],Soil Moisture @ 10cm Depth (%) [Catchment 4 After  2013/08/13],Soil Moisture @ 10cm Depth (%) [Catchment 9]
01/07/2021 00:15,,,14.94,,,31.63
01/07/2021 00:30,,,14.94,,,31.63
01/07/2021 00:45,,,14.88,,,31.63
01/07/2021 01:00,,,14.88,,,31.63
01/07/2021 01:15,,,14.88,,,31.63
01/07/2021 01:30,,,14.88,,,31.63
01/07/2021 01:45,,,14.88,,,31.65
01/07/2021 02:00,,,14.88,,,31.62
01/07/2021 02:15,,,14.88,,,31.62
01/07/2021 02:30,,,14.88,,,31.62
01/07/2021 02:45,,,14.88,,,31.62
01/07/2021 03:00,,,14.81,,,31.63
01/07/2021 03:15,,,14.81,,,31.63
01/07/2021 03:30,,,14.81,,,31.62
01/07/2021 03:45,,,14.81,,,31.62
01/07/2021 04:00,,,14.81,,,31.62
01/07/2021 04:15,,,14.75,,,31.62
01/07/2021 04:30,,,14.75,,,31.63
01/07/2021 04:45,,,14.75,,,31.63
01/07/2021 05:00,,,14.75,,,31.59
01/07/2021 05:15,,,14.75,,,31.59
01/07/2021 05:30,,,14.75,,,31.57
01/07/2021 05:45,,,14.75,,,31.59
01/07/2021 06:00,,,14.75,,,31.63
01/07/2021 06:15,,,14.75,,,31.63
01/07/2021 06:30,,,14.75,,,31.59
01/07/2021 06:45,,,14.75,,,31.59
01/07/2021 07:00,,,14.75,,,31.59
01/07/2021 07:15,,,14.75,,,31.59
01/07/2021 07:30,,,14.75,,,31.59
01/07/2021 07:45,,,14.75,,,31.57
01/07/2021 08:00,,,14.75,,,31.57
01/07/2021 08:15,,,14.75,,,31.57
01/07/2021 08:30,,,14.75,,,31.57
01/07/2021 08:45,,,14.75,,,31.57
01/07/2021 09:00,,,14.75,,,31.57
01/07/2021 09:15,,,14.75,,,31.57
01/07/2021 09:30,,,14.75,,,31.57
01/07/2021 09:45,,,14.75,,,31.55
01/07/2021 10:00,,,14.75,,,31.55
01/07/2021 10:15,,,14.75,,,31.55
01/07/2021 10:30,,,14.75,,,31.5
01/07/2021 10:45,,,14.75,,,31.5
01/07/2021 11:00,,,14.75,,,31.48
01/07/2021 11:15,,,14.75,,,31.48
01/07/2021 11:30,,,14.75,,,31.48
01/07/2021 11:45,,,14.75,,,31.44
01/07/2021 12:00,,,14.75,,,31.44
01/07/2021 12:15,,,14.81,,,31.44
01/07/2021 12:30,,,14.81,,,31.42
01/07/2021 12:45,,,14.81,,,31.42
01/07/2021 13:00,,,14.88,,,31.42
01/07/2021 13:15,,,14.88,,,31.42
01/07/2021 13:30,,,14.88,,,31.37
01/07/2021 13:45,,,14.88,,,31.39
01/07/2021 14:00,,,14.88,,,31.37
01/07/2021 14:15,,,14.88,,,31.37
01/07/2021 14:30,,,14.88,,,31.37
01/07/2021 14:45,,,14.88,,,31.33
01/07/2021 15:00,,,14.94,,,31.33
01/07/2021 15:15,,,14.94,,,31.33
01/07/2021 15:30,,,14.94,,,31.33
01/07/2021 15:45,,,15,,,31.33
01/07/2021 16:00,,,15,,,31.33
01/07/2021 16:15,,,15,,,31.31
01/07/2021 16:30,,,15,,,31.31
01/07/2021 16:45,,,15,,,31.31
01/07/2021 17:00,,,15,,,31.31
01/07/2021 17:15,,,15,,,31.31
01/07/2021 17:30,,,15,,,31.31
01/07/2021 17:45,,,15,,,31.31
01/07/2021 18:00,,,15,,,31.28
01/07/2021 18:15,,,15,,,31.28
